id_empleado,mes_facturado
1,2024-06-28
2,2024-06-28
3,2024-06-28
4,2024-06-28
5,2024-06-28
6,2024-06-28
7,2024-06-28
8,2024-06-28
9,2024-06-28
10,2022-12-15
11,2024-01-04
12,2024-12-02
13,2024-09-06
14,2022-08-19
15,2022-07-01
16,2024-06-05
17,2023-07-22
18,2024-12-17
19,2022-05-27
20,2024-05-23
21,2023-10-06
22,2024-02-10
23,2023-01-17
24,2023-03-15
25,2024-02-02
26,2024-01-22
27,2023-06-19
28,2024-10-22
29,2022-08-17
30,2024-06-27
31,2024-02-23
32,2024-02-24
33,2022-07-27
34,2022-09-25
35,2024-07-12
36,2024-05-03
37,2022-09-21
38,2022-11-09